lon,lat
150.6127122,-34.1791798
151.6049091,-32.9716099
150.9147684,-34.3342325
150.371827,-34.547926
149.5831502,-33.4256614
150.9049369,-34.3756089
151.0291298,-33.8101539
150.9846811,-33.8815241
151.5398629,-32.723438
150.284371,-33.6337509
151.3185105,-33.466255
151.1654301,-32.5719556
151.37001420000001,-33.3821909
150.9151382,-34.349647
150.7880152,-33.6086262
150.9813111,-34.2262528
151.3184561,-33.4510937
151.1718155,-33.5935297
150.8448986,-34.59128860000001
150.8528725,-34.6262848
150.5350458,-33.6964369
150.5899577,-34.22353
150.4484111,-34.4525385
149.7193261,-34.7581809
151.5940833,-32.7510294
151.6397052,-32.78354100000001
151.0240696,-33.8189516
150.6965918,-34.7803092
150.2795337,-33.6716628
151.7484659,-32.9184823
151.7484659,-32.9184823
151.0058313,-34.2107866
150.8176076,-34.744662
150.8963969,-34.3953267
150.9025608,-34.4772042
150.8175218,-34.4700762
150.977269,-34.2422363
